Year,reasondescription,Sum of base_cost
2014,Cardiac Arrest,39143
2014,Chronic congestive heart failure (disorder),12563
2014,Chronic obstructive bronchitis (disorder),107981
2014,Closed fracture of hip,431
2014,Excessive salivation (disorder),1293
2014,Facial laceration,33041
2014,Fracture of forearm,20014
2014,Fracture subluxation of wrist,9413
2014,Injury of anterior cruciate ligament,30818
2014,Laceration of foot,33989
2014,Laceration of forearm,30785
2014,Laceration of hand,15421
2014,Laceration of thigh,11932
2014,Malignant neoplasm of breast (disorder),149964
2014,Malignant tumor of colon,57920
2014,N/A,4761583
2014,Neoplasm of prostate,14233
2014,Non-small cell carcinoma of lung  TNM stage 1 (disorder),491130
2014,Normal pregnancy,2626633
2014,Opioid abuse (disorder),12499
2014,Overlapping malignant neoplasm of colon,93637
2014,Polyp of colon,109826
2014,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),103488
2014,Pulmonary emphysema (disorder),141834
2014,Recurrent rectal polyp,16860
2014,Streptococcal sore throat (disorder),7647
2014,Stroke,156339
2014,Suspected lung cancer (situation),80294
2015,Acute bronchitis (disorder),59167
2015,Acute viral pharyngitis (disorder),10456
2015,Appendicitis,15825
2015,Atrial Fibrillation,3519527
2015,Chronic congestive heart failure (disorder),4989
2015,Chronic obstructive bronchitis (disorder),120364
2015,Closed fracture of hip,13152
2015,Excessive salivation (disorder),1293
2015,Facial laceration,29514
2015,Fracture of ankle,31386
2015,Fracture of clavicle,33395
2015,Fracture of forearm,22938
2015,Fracture subluxation of wrist,37628
2015,Injury of medial collateral ligament of knee,21941
2015,Laceration of foot,31789
2015,Laceration of forearm,21790
2015,Malignant neoplasm of breast (disorder),111207
2015,Malignant tumor of colon,43888
2015,Myocardial Infarction,161881
2015,N/A,2628119
2015,Non-small cell carcinoma of lung  TNM stage 1 (disorder),689043
2015,Normal pregnancy,2567298
2015,Opioid abuse (disorder),1724
2015,Polyp of colon,84041
2015,Pulmonary emphysema (disorder),98093
2015,Rupture of patellar tendon,22000
2015,Secondary malignant neoplasm of colon,61382
2015,Streptococcal sore throat (disorder),13308
2015,Stroke,136581
2016,Acute bronchitis (disorder),71358
2016,Acute viral pharyngitis (disorder),9472
2016,Atrial Fibrillation,3447493
2016,Cardiac Arrest,28772
2016,Chronic congestive heart failure (disorder),2966
2016,Chronic obstructive bronchitis (disorder),56705
2016,Closed fracture of hip,431
2016,Excessive salivation (disorder),1293
2016,Facial laceration,19096
2016,Fracture of ankle,23711
2016,Fracture of clavicle,22506
2016,Fracture of forearm,35794
2016,Fracture of rib,431
2016,Fracture subluxation of wrist,10682
2016,Laceration of foot,14555
2016,Laceration of forearm,9026
2016,Laceration of hand,7253
2016,Laceration of thigh,11555
2016,Malignant neoplasm of breast (disorder),202769
2016,N/A,2517734
2016,Neoplasm of prostate,5124
2016,Non-small cell carcinoma of lung  TNM stage 1 (disorder),515421
2016,Normal pregnancy,1354958
2016,Polyp of colon,57421
2016,Pulmonary emphysema (disorder),133489
2016,Recurrent rectal polyp,19318
2016,Secondary malignant neoplasm of colon,12485
2016,Streptococcal sore throat (disorder),5351
2016,Stroke,243570
2017,Acute bronchitis (disorder),49749
2017,Acute viral pharyngitis (disorder),13581
2017,Atrial Fibrillation,3578887
2017,Chronic congestive heart failure (disorder),6994
2017,Chronic obstructive bronchitis (disorder),67187
2017,Closed fracture of hip,17380
2017,Excessive salivation (disorder),862
2017,Facial laceration,11405
2017,Fracture of ankle,8248
2017,Fracture of clavicle,18810
2017,Fracture of forearm,35482
2017,Fracture of rib,17391
2017,Fracture subluxation of wrist,18336
2017,Injury of medial collateral ligament of knee,10864
2017,Laceration of foot,16565
2017,Laceration of forearm,52992
2017,Laceration of thigh,67414
2017,Malignant neoplasm of breast (disorder),204267
2017,Malignant tumor of colon,105100
2017,Myocardial Infarction,81033
2017,N/A,2596745
2017,Non-small cell carcinoma of lung  TNM stage 1 (disorder),482029
2017,Normal pregnancy,2450999
2017,Polyp of colon,62787
2017,Pulmonary emphysema (disorder),105793
2017,Streptococcal sore throat (disorder),11657
2017,Stroke,103622
2017,Third degree burn,862
2018,Acute bronchitis (disorder),85787
2018,Acute viral pharyngitis (disorder),7720
2018,Appendicitis,18357
2018,Atrial Fibrillation,3788522
2018,Chronic congestive heart failure (disorder),9006
2018,Chronic obstructive bronchitis (disorder),48560
2018,Closed fracture of hip,11091
2018,Excessive salivation (disorder),1724
2018,Facial laceration,5859
2018,Fracture of ankle,20813
2018,Fracture of clavicle,9926
2018,Fracture of forearm,48702
2018,Fracture of rib,431
2018,Fracture subluxation of wrist,21275
2018,Injury of anterior cruciate ligament,17750
2018,Laceration of foot,10214
2018,Laceration of forearm,32545
2018,Laceration of thigh,21155
2018,Malignant neoplasm of breast (disorder),77237
2018,Myocardial Infarction,184957
2018,N/A,2366558
2018,Neoplasm of prostate,9993
2018,Non-small cell carcinoma of lung  TNM stage 1 (disorder),305883
2018,Normal pregnancy,1693335
2018,Polyp of colon,116749
2018,Posttraumatic stress disorder,76
2018,Pulmonary emphysema (disorder),100501
2018,Recurrent rectal polyp,13492
2018,Streptococcal sore throat (disorder),18423
2018,Stroke,132571
2019,Acute bronchitis (disorder),39099
2019,Acute viral pharyngitis (disorder),2411
2019,Atrial Fibrillation,4432359
2019,Chronic congestive heart failure (disorder),5327
2019,Chronic obstructive bronchitis (disorder),47187
2019,Closed fracture of hip,431
2019,Excessive salivation (disorder),862
2019,Facial laceration,19632
2019,Fracture of ankle,35150
2019,Fracture of forearm,22425
2019,Fracture of rib,19849
2019,Fracture subluxation of wrist,10922
2019,Laceration of hand,27578
2019,Laceration of thigh,52477
2019,Malignant neoplasm of breast (disorder),244999
2019,Myocardial Infarction,181608
2019,N/A,2482129
2019,Neoplasm of prostate,5769
2019,Non-small cell carcinoma of lung  TNM stage 1 (disorder),99108
2019,Normal pregnancy,1677131
2019,Overlapping malignant neoplasm of colon,16049
2019,Polyp of colon,17347
2019,Pulmonary emphysema (disorder),96402
2019,Recurrent rectal polyp,19855
2019,Streptococcal sore throat (disorder),9723
2019,Stroke,73182
2020,Acute bronchitis (disorder),25946
2020,Acute respiratory failure (disorder),3597
2020,Acute viral pharyngitis (disorder),12094
2020,Atrial Fibrillation,4533947
2020,Cardiac Arrest,30383
2020,Chronic congestive heart failure (disorder),10277
2020,Chronic obstructive bronchitis (disorder),83986
2020,Closed fracture of hip,431
2020,Excessive salivation (disorder),862
2020,Facial laceration,12200
2020,Fracture of ankle,7603
2020,Fracture of clavicle,1293
2020,Fracture of forearm,55986
2020,Fracture of rib,6795
2020,Fracture subluxation of wrist,29193
2020,Hypoxemia (disorder),96544
2020,Injury of anterior cruciate ligament,16190
2020,Laceration of foot,14544
2020,Laceration of forearm,39296
2020,Laceration of hand,9562
2020,Laceration of thigh,5697
2020,Malignant neoplasm of breast (disorder),86269
2020,N/A,3051669
2020,Normal pregnancy,1754331
2020,Polyp of colon,151976
2020,Pulmonary emphysema (disorder),94563
2020,Rupture of patellar tendon,9833
2020,Sepsis (disorder),2586
2020,Septic shock (disorder),1042863
2020,Streptococcal sore throat (disorder),11315
2020,Stroke,53408
2020,Suspected COVID-19,91
2021,Acute bronchitis (disorder),63842
2021,Acute respiratory failure (disorder),1293
2021,Acute viral pharyngitis (disorder),8566
2021,Atrial Fibrillation,4258893
2021,Chronic congestive heart failure (disorder),12777
2021,Chronic obstructive bronchitis (disorder),40062
2021,Closed fracture of hip,431
2021,Excessive salivation (disorder),1724
2021,Facial laceration,23644
2021,Fracture of ankle,22367
2021,Fracture of clavicle,10732
2021,Fracture of forearm,431
2021,Fracture of rib,26441
2021,Fracture subluxation of wrist,41589
2021,Hypoxemia (disorder),50858
2021,Laceration of foot,16659
2021,Laceration of hand,26347
2021,Laceration of thigh,47451
2021,Malignant neoplasm of breast (disorder),77931
2021,N/A,2882933
2021,Normal pregnancy,1444927
2021,Overlapping malignant neoplasm of colon,89278
2021,Polyp of colon,141125
2021,Pulmonary emphysema (disorder),102768
2021,Recurrent rectal polyp,16702
2021,Septic shock (disorder),7484
2021,Streptococcal sore throat (disorder),3630
2021,Stroke,91001
2021,Suspected COVID-19,38
2022,Acute bronchitis (disorder),210
2022,Atrial Fibrillation,362426
2022,Chronic congestive heart failure (disorder),1756
2022,Laceration of forearm,7966
2022,Malignant neoplasm of breast (disorder),10756
2022,N/A,151543
2022,Normal pregnancy,124560
2022,Overlapping malignant neoplasm of colon,9903
2022,Stroke,46165
